"Day1","Day2","Day3","Day4"
106,46,14,10
68,54,20,0
98,54,34,9
75,53,19,7
62,22,11,4
79,24,0,12
73,45,0,7
93,48,1,5
92,37,5,5
85,38,12,9
91,54,10,5
86,50,22,1
52,59,31,5
61,39,17,2
33,38,20,4
50,49,22,10
115,60,17,0
75,49,18,9
27,53,13,1
37,61,21,3
115,24,26,3
122,40,22,5
82,60,8,2
50,27,20,3
79,56,10,11
80,53,16,11
40,64,12,0
50,24,8,1
51,42,28,2
86,64,0,8
63,71,27,4
58,53,15,10
111,75,21,4
85,55,18,3
97,54,29,8
75,29,12,5
100,25,3,11
74,42,15,5
53,59,22,7
50,38,8,3
31,66,33,6
78,45,19,2
75,63,21,7
112,79,34,4
98,72,23,5
97,30,16,3
98,55,12,0
80,61,17,0
100,45,29,9
72,54,4,4
76,50,6,2
68,65,46,5
49,40,18,12
100,33,0,0
51,21,0,11
64,54,22,14
97,58,30,4
76,59,15,5
82,30,11,15
106,7,10,2
63,64,5,13
63,62,19,1
71,71,17,4
132,42,23,8
99,65,10,8
76,38,14,5
78,48,23,2
88,64,22,5
63,49,0,3
86,57,18,2
55,40,20,5
93,37,10,3
72,55,11,3
93,45,14,0
61,59,22,9
58,50,25,5
70,71,18,8
115,50,10,7
87,55,4,6
89,56,12,7
94,26,14,6
85,36,0,7
65,46,3,1
40,55,12,2
10,52,3,4
58,64,4,17
74,51,11,11
75,63,18,7
68,61,33,7
117,54,13,0
53,66,22,0
52,43,23,11
103,52,11,3
33,37,17,8
89,41,15,3
48,31,13,1
55,52,28,7
84,68,16,5
31,42,29,5
111,75,29,1
121,41,17,3
83,62,0,2
30,47,14,14
73,62,24,4
117,38,32,5
62,35,15,7
73,48,8,12
95,47,16,3
79,61,12,7
95,15,8,4
76,31,4,0
62,51,18,6
48,28,15,8
61,55,21,7
57,32,13,8
51,23,8,3
31,63,6,12
75,71,4,4
84,72,31,0
64,65,3,3
83,37,16,5
25,67,9,8
90,56,17,0
92,48,19,0
99,76,3,0
53,63,52,6
57,39,27,4
108,28,28,0
74,34,21,17
97,69,12,0
4,57,15,2
43,24,25,10
81,33,9,1
116,60,19,8
42,58,15,3
85,58,32,0
81,83,0,9
55,50,0,5
50,71,9,6
100,42,21,7
82,65,32,3
50,67,32,11
26,61,8,8
88,54,17,1
78,12,0,10
127,40,0,7
55,65,20,5
89,45,6,6
93,76,9,16
92,68,0,13
20,59,15,7
99,66,35,2
80,62,11,5
83,63,4,1
43,46,24,1
43,37,0,14
80,52,6,1
111,46,31,1
48,28,23,5
54,49,35,0
110,32,20,6
109,22,5,5
56,42,14,5
89,33,24,0
51,44,28,2
55,70,22,9
89,35,7,6
99,38,23,0
73,47,11,7
71,55,10,6
73,64,15,3
82,48,15,6
58,32,14,4
64,54,0,11
113,69,16,6
46,51,24,7
74,85,7,0
66,36,28,12
80,73,12,12
46,59,18,5
142,61,12,4
48,42,10,2
53,59,13,0
58,72,32,0
72,90,14,5
62,48,20,3
83,58,35,0
67,65,14,7
73,74,1,3
101,54,20,4
107,34,11,0
35,49,18,8
34,68,12,2
88,46,11,2
127,23,20,9
78,46,7,6
63,66,8,9
61,71,14,8
57,41,7,15
90,39,9,2
33,53,42,0
35,80,9,4
101,55,0,8
92,44,22,2
101,31,20,0
129,39,38,4
37,70,8,9
118,59,14,3
75,63,12,13
103,55,24,0
105,21,19,4
62,49,29,4
60,68,22,9
90,31,2,1
103,31,6,6
67,63,21,11
24,45,15,14
57,66,26,10
61,34,23,4
63,29,26,8
92,79,9,8
53,32,4,0
94,36,14,2
38,51,16,11
91,61,15,9
57,41,7,10
58,24,15,4
68,57,36,12
93,33,24,0
126,33,3,6
64,34,13,0
79,52,8,0
78,41,13,3
32,41,21,4
101,66,34,3
68,47,8,2
24,65,7,1
115,55,8,0
49,27,16,6
48,47,6,1
141,55,27,0
146,61,34,5
46,54,9,1
101,22,21,0
75,47,16,10
131,48,22,1
89,65,6,9
51,44,9,2
69,47,7,19
42,42,0,13
79,45,14,0
44,36,6,13
118,62,13,0
126,34,13,2
38,33,18,0
62,56,6,13
94,52,11,0
79,23,7,1
41,26,16,3
70,73,11,8
105,29,19,0
72,27,17,6
61,86,0,0
86,63,29,8
98,37,27,14
52,67,0,13
34,52,7,7
36,48,6,8
63,21,6,7
87,44,12,7
49,69,16,2
68,43,15,4
68,59,1,2
79,78,0,13
83,40,12,7
18,33,5,8
82,33,28,7
47,47,11,3
62,73,9,3
71,59,0,15
101,48,25,3
43,55,24,7
90,31,7,5
72,42,22,3
96,37,16,0
64,63,26,11
111,40,11,2
95,80,4,0
45,55,15,0
63,74,15,6
30,41,13,6
56,48,17,6
93,46,0,0
61,40,7,10
65,45,12,6
87,46,20,5
80,54,19,14
42,27,10,9
93,34,12,3
113,47,22,10
72,52,14,13
49,70,0,12
83,38,7,5
78,32,14,7
84,28,15,8
65,33,7,9
147,43,12,2
138,67,12,4
89,44,20,1
59,42,19,0
88,50,19,0
85,25,21,3
98,59,25,1
73,70,18,7
54,26,13,11
40,61,28,5
80,24,22,3
106,64,15,6
68,25,27,7
83,34,17,2
35,56,24,1
73,46,22,9
63,50,28,8
74,55,8,6
64,50,12,6
49,46,9,7
39,49,11,2
43,47,16,6
97,62,21,11
95,50,18,7
75,59,7,11
71,73,16,8
49,52,15,0
66,53,19,12
96,57,2,7
106,50,15,2
86,53,31,6
66,50,26,2
57,24,0,4
53,64,1,8
68,41,18,1
80,29,25,15
77,41,6,10
68,62,8,5
66,62,36,5
68,56,11,0
86,48,31,8
56,60,12,18
94,40,8,8
47,19,14,7
47,52,14,8
134,39,18,3
66,55,2,6
76,56,17,0
17,48,24,14
63,46,14,0
69,60,20,7
95,14,11,1
73,40,8,4
31,74,15,8
86,42,23,5
127,66,26,12
80,67,20,2
58,28,10,0
68,50,4,0
70,44,12,0
55,77,6,10
73,39,35,14
47,44,5,9
77,33,8,17
61,86,19,0
84,48,16,11
58,48,15,2
43,70,18,5
46,48,19,4
75,44,0,7
88,43,25,0
60,41,40,3
83,32,11,0
20,41,4,5
112,53,0,11
81,67,23,0
86,92,28,2
87,26,19,14
61,53,17,5
63,46,27,4
71,63,8,6
98,62,17,2
82,52,5,4
61,54,11,7
111,53,27,0
88,63,18,2
130,38,2,7
119,58,21,0
81,63,34,13
102,79,18,2
73,41,24,13
103,61,12,6
47,73,5,10
48,55,14,7
34,29,0,5
112,37,26,5
72,59,11,3
81,58,23,6
45,48,20,8
90,65,26,13
41,65,28,13
86,29,22,4
48,60,31,0
82,56,11,8
65,66,13,9
54,36,5,1
76,61,1,11
63,71,26,3
44,62,23,0
55,66,0,2
94,34,24,8
85,48,8,6
93,58,38,7
30,41,7,11
105,56,10,8
98,65,10,4
75,35,16,1
74,32,24,0
54,56,13,5
66,46,9,0
59,66,22,4
65,23,31,7
86,48,14,0
82,60,27,2
60,48,26,2
80,44,17,0
66,49,5,10
48,44,0,8
137,53,14,13
93,43,10,0
72,47,21,1
78,61,1,1
30,57,19,2
62,59,8,6
81,62,12,4
82,38,32,7
91,41,25,6
81,66,13,0
68,40,8,13
102,33,17,2
105,46,21,0
71,57,0,0
124,45,0,18
89,34,14,2
59,71,6,6
133,58,30,2
70,64,17,1
80,38,30,7
104,77,0,5
36,46,31,6
71,30,10,1
97,37,37,5
110,79,13,2
66,58,31,0
49,63,21,9
94,53,3,10
78,39,10,16
83,53,4,2
116,55,13,12
106,35,30,0
90,34,33,7
85,55,9,7
109,45,10,0
75,43,10,9
97,48,24,7
96,43,16,10
73,44,15,4
78,57,20,3
84,50,35,12
73,29,20,3
67,38,24,3
84,51,11,9
64,59,0,0
56,26,0,6
131,47,6,8
68,67,21,14
45,62,0,2
76,34,4,4
82,28,10,6
77,52,20,0
114,44,28,5
124,41,12,11
87,33,12,0
78,33,11,0
105,45,8,1
65,65,18,9
108,43,27,0
87,53,10,10
21,49,4,13
94,57,7,9
79,50,2,0
22,74,13,7
90,45,17,12
51,72,17,11
81,45,18,2
51,39,9,2
48,32,20,7
98,70,16,7
47,48,43,5
79,37,16,2
65,63,8,0
93,42,13,8
104,68,13,8
73,62,41,8
51,65,9,6
84,43,14,0
73,39,0,11
86,43,26,0
75,47,23,9
79,44,7,9
68,60,31,6
69,62,0,2
30,65,26,0
129,23,22,4
94,55,11,0
108,42,14,1
32,35,29,0
88,58,48,11
108,39,4,10
103,74,28,9
81,41,9,7
78,42,41,0
85,55,10,6
54,30,29,2
37,52,0,0
45,38,9,12
95,54,16,10
78,55,7,6
104,52,7,9
63,52,19,12
58,48,3,5
113,32,27,3
84,19,28,3
40,54,8,0
53,64,21,4
129,53,26,13
91,50,7,4
76,45,23,0
76,67,5,5
100,67,19,5
117,50,22,17
76,54,23,7
139,49,32,0
116,62,11,11
69,44,26,13
104,55,5,4
69,42,8,0
109,21,10,6
98,61,24,0
94,46,21,12
74,40,0,2
50,51,5,4
94,54,25,1
50,46,21,9
75,39,18,0
35,53,33,3
66,55,28,8
114,51,6,10
78,61,20,0
42,51,14,7
69,51,7,10
75,69,25,12
76,71,27,5
91,53,24,5
106,29,28,1
76,44,5,8
97,57,13,6
91,41,20,7
20,48,24,8
104,30,19,7
66,84,12,12
65,49,37,0
95,53,39,4
69,48,6,0
49,67,16,9
90,51,0,0
27,54,1,0
46,15,15,6
62,55,27,8
18,60,44,7
32,54,28,3
88,60,18,0
116,46,8,1
101,49,19,0
94,49,8,3
90,73,0,2
88,63,19,3
63,15,15,12
53,61,22,8
96,35,22,7
70,48,25,5
94,58,8,8
30,51,26,2
108,32,9,1
118,60,4,0
33,55,8,10
41,53,13,1
69,24,0,4
62,49,7,4
23,39,7,7
107,56,8,7
18,49,10,6
105,43,37,2
131,31,24,0
34,54,27,4
44,78,15,4
94,67,0,4
48,56,12,14
49,44,6,7
81,55,10,7
49,35,0,4
90,69,18,2
47,57,13,0
73,27,27,6
59,58,11,2
83,45,28,15
77,38,11,17
90,50,17,9
121,55,7,0
55,52,18,2
48,57,25,4
83,63,14,1
100,42,6,1
51,64,30,4
82,35,6,10
92,31,1,2
96,56,14,3
82,58,23,0
62,53,38,3
73,46,39,6
60,56,0,0
42,24,26,10
84,103,23,12
24,70,0,11
56,48,5,11
62,31,6,4
55,37,1,12
107,63,13,0
42,41,26,8
73,62,27,0
68,64,13,0
70,65,16,13
27,59,13,9
53,67,13,4
63,78,26,0
43,45,20,7
63,37,30,0
67,30,21,5
37,50,5,0
103,53,9,2
55,52,43,6
67,32,21,0
67,63,34,3
107,72,0,0
45,31,14,1
123,38,27,8
52,57,19,10
97,47,11,8
83,53,16,6
61,42,26,4
121,60,37,0
125,54,7,0
90,61,18,0
41,39,16,8
71,46,41,4
65,36,8,14
89,41,15,0
92,50,6,4
87,57,24,4
109,58,0,0
87,20,12,15
80,75,23,5
71,16,13,2
81,37,31,0
34,64,12,8
78,58,16,1
57,54,33,9
79,49,31,2
98,62,13,7
71,52,3,12
76,36,17,5
96,50,13,8
45,49,24,0
103,19,39,3
28,34,8,0
63,51,15,12
78,26,4,7
76,65,9,4
73,79,17,1
85,48,22,12
52,53,9,3
79,50,2,5
61,56,0,0
85,37,25,8
66,56,14,0
96,49,14,3
5,74,17,3
71,44,21,9
78,51,24,0
76,69,6,3
64,30,3,0
92,22,7,6
79,42,24,6
78,48,30,0
128,59,0,7
43,54,27,6
74,74,0,14
48,29,15,7
56,77,0,4
49,40,7,0
84,45,33,4
57,51,0,8
58,39,8,4
82,56,25,12
61,30,9,3
37,40,8,1
66,51,14,7
55,51,11,4
72,71,16,10
82,50,8,1
70,28,15,6
74,68,23,7
56,59,15,16
88,66,7,1
90,25,6,6
105,32,11,0
64,37,16,6
76,40,12,0
93,38,3,8
140,34,22,2
69,49,17,1
55,34,2,9
93,45,18,5
45,42,21,11
77,74,21,5
112,68,21,0
62,61,17,4
50,62,8,2
100,53,15,13
69,70,12,9
130,54,19,3
103,53,18,2
53,53,20,5
59,62,42,7
89,47,17,5
65,66,27,0
61,50,17,12
37,51,2,0
57,72,16,12
92,43,15,0
63,34,27,15
95,65,11,0
71,9,34,1
100,22,0,4
42,71,5,12
89,54,8,9
127,53,12,6
45,59,20,12
68,60,11,10
102,56,7,19
48,55,9,15
72,33,5,2
74,59,8,0
103,52,21,5
79,75,10,2
29,40,14,7
86,42,8,10
105,63,30,1
40,68,16,5
106,57,18,9
71,51,13,0
99,61,6,9
63,54,25,6
96,42,15,6
96,61,25,0
75,27,0,12
87,41,6,1
57,43,4,11
85,59,4,4
80,35,9,7
27,68,7,0
78,68,12,5
51,46,15,5
67,64,16,0
129,67,19,0
63,63,22,4
90,76,11,2
116,67,5,6
29,52,20,0
38,64,0,0
83,52,0,0
67,39,19,12
49,64,13,2
66,35,1,1
32,33,8,6
56,53,10,5
70,39,23,1
102,52,0,6
125,50,15,4
116,21,12,6
66,59,31,0
77,89,15,0
50,40,19,7
80,64,16,0
71,49,8,13
61,46,22,8
100,62,17,2
87,48,20,10
67,56,8,2
60,61,3,0
122,58,15,7
56,65,22,12
65,60,0,9
29,71,28,2
81,30,13,0
66,35,18,7
51,34,2,4
56,55,13,0
115,85,19,13
82,28,17,8
24,66,1,3
83,71,33,7
61,70,18,8
62,29,9,12
95,73,0,2
87,57,21,2
55,27,27,0
57,56,13,3
70,22,16,7
88,55,26,11
90,65,35,7
49,60,1,11
48,39,14,12
72,56,0,5
50,57,20,15
77,61,15,13
58,37,13,10
102,47,29,13
73,63,13,3
74,74,30,11
37,62,5,2
17,58,14,9
104,51,13,5
29,49,10,6
23,74,11,10
67,60,18,11
47,42,5,13
64,52,15,3
28,39,23,12
81,66,7,10
52,40,13,2
49,62,14,1
58,22,14,10
68,49,24,6
67,71,9,0
105,33,5,10
59,64,11,8
97,52,21,8
105,45,36,0
72,58,8,6
117,35,18,2
55,45,1,4
60,56,20,0
43,39,18,8
101,49,23,1
73,34,13,8
110,41,20,16
78,56,8,8
41,45,14,8
49,12,11,5
151,57,10,10
56,31,7,10
46,54,0,4
