Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
2178,0,1400,Run_2178,20,1.00E-04,220,1
2179,0,1600,Run_2179,18,1.00E-05,220,1
2180,0,1600,Run_2180,19,2.00E-05,220,1
2190,0,1800,Run_2190,22,1.00E-04,220,1
2203,20,1200,Run_2203,22,1.00E-05,220,1
2215,20,1600,Run_2215,26,1.00E-05,220,1
2216,20,1600,Run_2216,26,2.00E-05,220,1
2219,20,1600,Run_2219,26,8.00E-05,220,1
2220,20,1600,Run_2220,26,1.00E-04,220,1
2223,20,1800,Run_2223,28,4.00E-05,220,1
2224,20,1800,Run_2224,28,6.00E-05,220,1
2226,20,1800,Run_2226,28,1.00E-04,220,1
2236,40,1000,Run_2236,23,6.00E-05,220,1
2239,40,1200,Run_2239,26,1.00E-05,220,1
2242,40,1200,Run_2242,26,6.00E-05,220,1
2245,40,1400,Run_2245,29,1.00E-05,220,1
2260,40,1800,Run_2260,34,6.00E-05,220,1
2265,40,2000,Run_2265,38,4.00E-05,220,1
2266,40,2000,Run_2266,36,6.00E-05,220,1
2269,80,1000,Run_2269,19,1.00E-05,220,1
2270,80,1000,Run_2270,19,2.00E-05,220,1
2282,80,1400,Run_2282,28,2.00E-05,220,1
2310,100,1000,Run_2310,14,1.00E-04,220,1
2312,100,1200,Run_2312,24,2.00E-05,220,1
2313,100,1200,Run_2313,24,4.00E-05,220,1
2321,100,1400,Run_2321,24,8.00E-05,220,1
2324,100,1600,Run_2324,30,2.00E-05,220,1
2325,100,1600,Run_2325,30,4.00E-05,220,1
2335,100,2000,Run_2335,36,1.00E-05,220,1
2339,100,2000,Run_2339,30,8.00E-05,220,1
2340,100,2000,Run_2340,29,1.00E-04,220,1
2341,120,1000,Run_2341,18,1.00E-05,220,1
2342,120,1000,Run_2342,18,2.00E-05,220,1
2347,120,1200,Run_2347,24,1.00E-05,220,1
2349,120,1200,Run_2349,24,4.00E-05,220,1
2370,120,1800,Run_2370,28,1.00E-04,220,1
2387,140,1200,Run_2387,20,8.00E-05,220,1
2415,160,1000,Run_2415,14,4.00E-05,220,1
2416,160,1000,Run_2416,13,6.00E-05,220,1
2423,160,1200,Run_2423,18,8.00E-05,220,1
2436,160,1600,Run_2436,24,1.00E-04,220,1
2447,160,2000,Run_2447,30,8.00E-05,220,1
2449,180,1000,Run_2449,12,1.00E-05,220,1
2450,180,1000,Run_2450,12,2.00E-05,220,1
2452,180,1000,Run_2452,11,6.00E-05,220,1
2453,180,1000,Run_2453,8,8.00E-05,220,1
2463,180,1400,Run_2463,22,4.00E-05,220,1
2465,180,1400,Run_2465,20,8.00E-05,220,1
2466,180,1400,Run_2466,19,1.00E-04,220,1
2469,180,1600,Run_2469,26,4.00E-05,220,1
2474,180,1800,Run_2474,28,2.00E-05,220,1
2478,180,1800,Run_2478,25,1.00E-04,220,1
2482,180,2000,Run_2482,30,6.00E-05,220,1
2485,200,1000,Run_2485,6,1.00E-05,220,1
2486,200,1000,Run_2486,6,2.00E-05,220,1
2487,200,1000,Run_2487,6,4.00E-05,220,1
2488,200,1000,Run_2488,6,6.00E-05,220,1
2489,200,1000,Run_2489,6,8.00E-05,220,1
2490,200,1000,Run_2490,5,1.00E-04,220,1
2492,200,1200,Run_2492,12,2.00E-05,220,1
2495,200,1200,Run_2495,10,8.00E-05,220,1
2496,200,1200,Run_2496,10,1.00E-04,220,1
2498,200,1400,Run_2498,18,2.00E-05,220,1
2499,200,1400,Run_2499,18,4.00E-05,220,1
2513,200,1800,Run_2513,22,8.00E-05,220,1
2527,0,1200,Run_2527,14,1.00E-05,240,1
2538,0,1400,Run_2538,17,1.00E-04,240,1
2540,0,1600,Run_2540,17,2.00E-05,240,1
2541,0,1600,Run_2541,18,4.00E-05,240,1
2550,0,1800,Run_2550,20,1.00E-04,240,1
2552,0,2000,Run_2552,18,2.00E-05,240,1
2554,0,2000,Run_2554,20,6.00E-05,240,1
2563,20,1200,Run_2563,18,1.00E-05,240,1
2565,20,1200,Run_2565,18,4.00E-05,240,1
2595,40,1000,Run_2595,18,4.00E-05,240,1
2602,40,1200,Run_2602,20,6.00E-05,240,1
2603,40,1200,Run_2603,20,8.00E-05,240,1
2613,40,1600,Run_2613,25,4.00E-05,240,1
